exporter,importer,commodity,mode,year,source,value_usd
Russia,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,814995971.0
Saudi Arabia,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,776664133.954
China,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,635925780.29
Russia,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,487207172.62
Qatar,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,396500105.556
Egypt,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,392365858.36
Georgia,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,384649586.76
Turkey,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,371141841.42
Bulgaria,Romania,Fertilizer,Road,2022,UN Comtrade public preview,358804062.6
Malaysia,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,342285989.487
United Arab Emirates,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,336657350.159
China,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,335742340.16
Slovakia,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,307485164.0
Russia,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,305885016.806
Indonesia,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,289088002.275
China,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,286082435.0
Germany,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,247702566.0
Chile,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,229523533.0
Poland,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,225681502.0
Greece,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,218960787.304
Morocco,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,218363834.365
Russia,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,188531639.857
Austria,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,175895906.0
Bulgaria,Romania,Fertilizer,Rail,2022,UN Comtrade public preview,169031008.82
Morocco,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,168019116.6
Ukraine,Romania,Fertilizer,Rail,2022,UN Comtrade public preview,160472562.84
Egypt,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,159583266.016
Greece,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,146832622.12
Georgia,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,145558797.704
Oman,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,135461861.0
Brunei,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,127643099.38
Russia,Mozambique,Fertilizer,Sea,2022,UN Comtrade public preview,119567126.136
Nigeria,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,118939391.0
Canada,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,116834992.822
Saudi Arabia,Mozambique,Fertilizer,Sea,2022,UN Comtrade public preview,113559122.432
Russia,Moldova,Fertilizer,Sea,2022,UN Comtrade public preview,112449254.0
United Arab Emirates,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,111691442.98
Poland,Czechia,Fertilizer,Rail,2022,UN Comtrade public preview,102163306.0
Malaysia,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,101049789.4
Russia,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,98529900.0
Trinidad and Tobago,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,96080542.519
Jordan,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,94753677.5
Morocco,Benin,Fertilizer,Sea,2022,UN Comtrade public preview,91652318.068
Jordan,Mozambique,Fertilizer,Sea,2022,UN Comtrade public preview,87969693.956
Thailand,Myanmar,Fertilizer,Road,2022,UN Comtrade public preview,87413782.44
Germany,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,85828780.725
Jordan,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,85033910.375
Vietnam,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,83370435.46
Slovakia,Czechia,Fertilizer,Rail,2022,UN Comtrade public preview,83121898.0
Germany,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,80861314.0
Bahrain,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,80676989.002
China,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,79080694.54
Greece,Romania,Fertilizer,Road,2022,UN Comtrade public preview,75030953.62
South Africa,Namibia,Fertilizer,Road,2022,UN Comtrade public preview,71498616.47
Slovakia,Romania,Fertilizer,Rail,2022,UN Comtrade public preview,70861549.82
Spain,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,68964256.0
Poland,Romania,Fertilizer,Road,2022,UN Comtrade public preview,68637982.32
Oman,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,67971219.572
Tunisia,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,66894193.16
Hungary,Romania,Fertilizer,Road,2022,UN Comtrade public preview,66444941.26
Qatar,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,62619398.0
China,Mozambique,Fertilizer,Sea,2022,UN Comtrade public preview,59655546.08
Mauritius,Mozambique,Fertilizer,Sea,2022,UN Comtrade public preview,58288221.968
Indonesia,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,54893000.32
Germany,Czechia,Fertilizer,Rail,2022,UN Comtrade public preview,54101532.0
Belarus,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,53689884.0
Morocco,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,51946224.966
Thailand,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,49862802.334
Turkey,Romania,Fertilizer,Road,2022,UN Comtrade public preview,48198036.1
Oman,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,47565960.0
Italy,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,45991086.098
Oman,Mozambique,Fertilizer,Sea,2022,UN Comtrade public preview,45858835.304
Saudi Arabia,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,45040858.4
Germany,Romania,Fertilizer,Road,2022,UN Comtrade public preview,44300166.18
Algeria,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,44165528.0
Israel,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,43367020.0
South Korea,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,43122163.8
Algeria,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,41054872.46
China,Angola,Fertilizer,Sea,2022,UN Comtrade public preview,40867215.305
Spain,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,40400357.106
Mexico,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,40180658.815
Vietnam,Laos,Fertilizer,Road,2022,UN Comtrade public preview,39877122.27
Canada,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,39308809.0
Estonia,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,39209494.151
Indonesia,Mozambique,Fertilizer,Sea,2022,UN Comtrade public preview,39084265.916
Malaysia,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,38696500.0
China,Laos,Fertilizer,Road,2022,UN Comtrade public preview,38562527.04
Greece,Cyprus,Fertilizer,Sea,2022,UN Comtrade public preview,38437382.802
Thailand,Laos,Fertilizer,Road,2022,UN Comtrade public preview,38061448.82
Russia,Colombia,Fertilizer,Road,2022,UN Comtrade public preview,37787904.4
Italy,Romania,Fertilizer,Road,2022,UN Comtrade public preview,36991587.42
Netherlands,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,36881193.26
Netherlands,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,35394703.978
Oman,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,35296991.0
Turkey,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,35171200.572
Hungary,Romania,Fertilizer,Rail,2022,UN Comtrade public preview,34949453.12
Brunei,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,34572432.017
Lithuania,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,34438308.0
Trinidad and Tobago,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,33624883.0
